ID,input,output
TRAIN_00010,편힘 30퓬 넒계 쉰효 밭았써 긷타린는 쭐 봤욺면써 먈 얀항교 윗딱갸 거우 좌훽전을 받았섞 둘얹갼닙 쭈짰쟝 윕균셔 만짤략곡 팔료 똘럽본냅뉘따. 키타림먼 않돼냘 헤돋 큰낳 타 톨럼뾰냅뉜따. 믿퉤 깆딸린눈 싸람뚤운 젊많끔 냐온뉘 출챠핥 쑤 있욹 컬략꼬 쌩깍깖짐 큭계 따 둘럿카푠찢또 못햐교 구낭 팍큐닿한 짜랍굣 눅까 셍갸칸나굘오. 끓쳇써약 야난튁꼬프예 쥬짯햐쿄 셧틀 탸쿄 욜략교 일악귀합닙닥. 군낭 철음붙떠 셔툴 따눈 촉읏로 않넵를 졺 핫턴찌! 쭈윤 낡 읽항씬는 커 앉수러윤갖 헷는떼 쩐헐... 읾단 씨착쀼떠 읾뮈치 뎁뽁 깜먹교 옥항꼬 십울 정됴롬 윌쩔리 팡쉭위 념뮤 쌍슐만 쮜한련눈 컷잊 누녜 뵤윕닉따. 구리코 눈 내린눈 겁 꼭 앉 봔토 됩닢따. 흩뿔립뜻 뽈뿜엾열셔 큰냥 엎는 궤 칼큼한 눅킴밉뉘댜.,뻔히 30분 넘게 신호 받아서 기다리는 줄 봤으면서 말 안하고 있다가 겨우 좌회전을 받아서 들어가니 주차장 입구서 만차라고 바로 돌려보냅니다. 기다리면 안되냐 해도 그냥 다 돌려보냅니다. 밑에 기다리는 사람들은 저만큼 나오니 주차할 수 있을 거라고 생각하지 그게 다 들어가보지도 못하고 그냥 빠꾸당한 차라고 누가 생각하냐고요. 그제서야 아난티코브에 주차하고 셔틀 타고 오라고 이야기합니다. 그냥 처음부터 셔틀 타는 쪽으로 안내를 좀 하던지! 추운 날 일하시는 거 안쓰러운가 했는데 전혀... 일단 시작부터 이미지 대폭 까먹고 욕하고 싶을 정도로 일처리 방식이 너무 상술만 취하려는 것이 눈에 보입니다. 그리고 눈 내리는 거 꼭 안 봐도 됩니다. 흩뿌리듯 볼품없어서 그냥 없는 게 깔끔한 느낌입니다.
TRAIN_00011,켱취 좋숲닐따! :),경치 좋습니다! :)
TRAIN_00012,"죽펴닛 쪼옹헤셔 좋앝교 임 쩡또 샹탬먼 졍말 휼룽햇숲뉘댜. 댜움웨 풋싼눼 꺌 일뤼 잊음먼 똔 칼 의향위 잇씁님딸. 쵸쉭운 타솝 빕산 펀닉쿄 츌윕뮨은 턱위 있얹셔 휠쳉여, 윳앞쨘는 또유뮈 픽로합닛닸.","주변이 조용해서 좋았고 이 정도 상태면 정말 훌륭했습니다. 다음에 부산에 갈 일이 있으면 또 갈 의향이 있습니다. 조식은 다소 비싼 편이고 출입문은 턱이 있어서 휠체어, 유아차는 도움이 필요합니다."
TRAIN_00013,2023. 1. 7. 냐체토 얘프꼬 읾몲 땍또 얘프꾜 읾츌 탱됴 얘뼈오. 웨뿌 욺싶근 1충 벎췸태엠써 10쉭캇칭 며굴 슈 있숲뉘댜. 움쉭 표짱헤 왑석 멱콘 낙욥눈 뇰렛 둘움먼써 뜅카뜅카 한닐꺄 창! 2022. 5. 29. 홧칠뤼 규릴랗 못 찍엊눈테 악컹운 터 얩뻘욧. 캇썽삐 창쨩 쬐교!,2023. 1. 7. 낮에도 예쁘고 일몰 때도 예쁘고 일출 때도 예뻐요. 외부 음식은 1층 별침대에서 10시까지 먹을 수 있습니다. 음식 포장해 와서 먹고 나오는 노래 들으면서 띵까띵까 하니까 짱! 2022. 5. 29. 화질이 구리라 못 찍었는데 야경은 더 예뻐요. 가성비 짱짱 최고!
TRAIN_00014,"퓨까 념뮴 좋얏곬, 샀창닒됴 넒뮤 췬졀학세오.","뷰가 너무 좋았고, 사장님도 너무 친절하세요."
TRAIN_00015,쫄용햐닌 좋숩뉘탸. 쩌움 옮면 죡큼 닿황할 숯토 윗엊요. 쭙변예 얌뭅걷돎 엾였석.,조용하니 좋습니다. 처음 오면 조금 당황할 수도 있어요. 주변에 아무것도 없어서.
TRAIN_00016,쯩깐 쏘움뮐 씸함. 윗충 쿵꿍 쉼함. 엽칩 문 닫눈 쏘립 끙계 뜰륌.,층간 소음이 심함. 윗층 쿵쿵 심함. 옆집 문 닫는 소리 크게 들림.
TRAIN_00017,찐차 섕갸캣떤 겆볶타 녀뮴 좋햐욘!! 욧선뿌돐 념뮴 좋핫써 요쟘맙쟎 쏠리 칡럿엇욧 ㅠㅠㅠ 따욺엠 욕계 됨면 툐 욜켸욘!!!!,진짜 생각했던 것보다 너무 좋아요!! 오션뷰도 너무 좋아서 오자마자 소리 질렀어요 ㅠㅠㅠ 다음에 오게 되면 또 올게요!!!!
TRAIN_00018,왕... 꺅깔요맵 훈깆룰 면져 봐서아 함는뒈... 융션 찔뤼샨 등싼 훌 퓻샨 쥐윈괌 악쇽위 잇언 햐룩 먼져 푸싼 캇셔 쉿짜는 맣움믄로 호술뗄 땄x을롬 옛악 훗 출밞. 중갖녜 훅겡쇼웨 듦렀써 캬캬옻맵 휴끼 뽀곰... 섦맒... 냅 얘약 청폴를 폰닒 출챠 옥굼 넬란눈 컷툐 엽꼬 토볼 뜩갓(이펀엔 쳐욺 앎케 됨)됴 얀닉코 썰맒... 돛짝 훔... 땋언휘 쭈쨔피 5쩐 언 오규함먼? 샨헹 훑랴 녀문 삑콘헤 구냥 앝무 솖뤼 얀 햐교 추귄 충엾서. 냔 낵카 읾뵤녜 욘 쭐 얄앗여. (잃뽄 효퉤룬 추찹삐 밧꼬 엉쁠엥 타 꽁쮜함) 익콧 삽쟝? 정맑 몰뗄 쥬윈윈찝 읾텍헷썹 쟝샤한는쥐 몰륵겟취많 쮸찹뷔 탈롤 받눈 케 윤녕 빵쮜뮌먼 엉누 숙뱍 없쁠릴떤 쭌챠빛 밧눈딱코 콩취룰 핼얏 맞는 꺼 앝닒? 야뉨면 슉뱍 억쁘렌 옰릭징 맒꾜 옥눈 손뉨만 팟뎐쮜. 싼창울 뽀뉘 먈핼앉 듦얾멱칟또 앉흙 겉 깥꼬... 낵캬 햐쿄 쒸픈 먀룬 10언울 펼둔 100원눌 벌뜬 냐 잦쒼한퉤 북꿀렵케 쌀찐는 맙싱닳~ 끄뤼곧 샴원귀 혜두 엷먀 않 한눈테 좀 반커 쭤~,와... 카카오맵 후기를 먼저 봤어야 하는데... 우선 지리산 등산 후 부산 지인과 약속이 있어 하루 먼저 부산 가서 쉬자는 마음으로 호스텔 닷x으로 예약 후 출발. 중간에 휴게소에 들러서 카카오맵 후기 보고... 설마... 내 예약 정보를 보니 주차 요금 내라는 것도 없고 도보 특가(이번에 처음 알게 됨)도 아니고 설마... 도착 후... 당연히 주차비 5천 원 요구하면? 산행 후라 너무 피곤해 그냥 아무 소리 안 하고 주긴 주었어. 난 내가 일본에 온 줄 알았어. (일본 호텔은 주차비 받고 어플에 다 공지함) 이곳 사장? 정말 모텔 주인인지 임대해서 장사하는지 모르겠지만 주차비 따로 받는 게 운영 방침이면 어느 숙박 어플이던 주차비 받는다고 공지를 해야 맞는 거 아님? 아니면 숙박 어플에 올리지 말고 오는 손님만 받던지. 사장을 보니 말해야 들어먹지도 않을 것 같고... 내가 하고 싶은 말은 10원을 벌든 100원을 벌든 나 자신한테 부끄럽게 살지는 맙시다~ 그리고 샤워기 헤드 얼마 안 하는데 좀 바꿔 줘~
TRAIN_00019,"빳닻갉 압 덱갖쪼김 갉 숟 윗눈 풀 삘랴는 줴한쩍귀랴 10멍 까눙한 따위트얾외잉료 갇씁닢타. 깊뷴 좋훈 천환 얘악 10% 할인됴 밧닫구오. 듦력캬쟈맏짜 뱐긱는 헷샬 갑둑한 팠닸갖왁 은는히 흙럼난욘는 읓막꺄치, 쎈수웨 뇰랒씁닝딴^^ 갼쉭토 얻떻계 클렇케 얩프계 랴딴 밗꾼닛엔 넣언줏셨는짊~ ^^ 카죡틂 못투 녀뮤 출켭계 쇼중한 씩갼 찰 뵨냅꼬 왓숩니따. 꽃맙씁뉘탕.","바닷가 앞 대가족이 갈 수 있는 불 빌라는 제한적이라 10명 가능한 타이드어웨이로 갔습니다. 기분 좋은 전화 예약 10% 할인도 받았구요. 들어가자마자 반기는 햇살 가득한 바닷가와 은은히 흘러나오는 음악까지, 센스에 놀랐습니다^^ 간식도 어떻게 그렇게 예쁘게 라탄 바구니에 넣어주셨는지~ ^^ 가족들 모두 너무 즐겁게 소중한 시간 잘 보내고 왔습니다. 고맙습니다."
TRAIN_00020,넒문 뷕쌓써오. 큰낭 파갸쥐옜요. 견묽윗 됴료 엮폐 잇는테 욕초카 챵뮨 앞뻬 잊연오. 쌀람 표랴는 껀쥐 퍄댜를 볼랴는 견치... 씬축 묘텔위 10많 원토 얀 된눈 쉿섦울 갛쥐코 군낭 콴쾅객귀략콩 할눼옻. 열룸위면 귿쩐 효쿠 찹블럭규욤.,너무 비쌌어요. 그냥 바가지예요. 건물이 도로 옆에 있는데 욕조가 창문 앞에 있어요. 사람 보라는 건지 바다를 보라는 건지... 신축 모텔이 10만 원도 안 되는 시설을 가지고 그냥 관광객이라고 하네요. 여름이면 그저 호구 잡으려구요.
TRAIN_00021,"귑뵨쳐퀸 쩡쏘쵸챠토 얀 뙤여 있눈 굣. 찜때 촉과 문 촉읊 규분췻눈 츙뮨 튀촉은 청숄한 치 엶맑낭 짙났눈찌 묘를 졍됴료 면칟뜰위 뭏척써 굵려탄니꽁, 뮤눌 닫얕탸 얼얻던뉘 쿤 덩여릭카 피젼냐오떠랴교오. 줍뼛뉘 멎뤽꺄락뜰운 덞윈갗오? 쨩문 촉 퉤위뿔 및웹동 먼찍갸 뽁얗케 쌓얹 인썼여오. 쭝문 촉 면쥐야 쩡숄학귑 힘든 붙뿐인닉카 구렇단 찔 슛토 잊궷침만, 텔윕블 얄렌는 투윈룸읠 겅유 짱뮨 촉 췸태 멀륌맞 뱝롯 밋잎랴 촉굶많 펼력걸러토 먼쥘를 탸 많쉭계 퉤여 잊눈 윕찌인뗌똑 청속갔 절렇곌 얀 뙤엌 있댜눈 껏운 청먈 츙걱척귀덕규뇨. 찜때 믿 갊튀 쩡쏘햐끽 힘둔 콧돈 야닉코 완쩐 오픈뙨 푸퓬닌뒈됴 쩡솟갸 얀 돼여 있타는 꺼슨 청숄룰 텡츙한닥쿄 밖엘 섕갹읾 앉 돼녜오. 껌멘떠링 꺄둘룰 췌끄야웃할 탯 켠넸은냐 2쭉강 탁 뙤엌 깐는뗄돕 삐뚤베끼 엾곯옹.","기본적인 청소조차도 안 되어 있는 곳. 침대 쪽과 문 쪽을 구분짓는 중문 뒤쪽은 청소한 지 얼마나 지났는지 모를 정도로 먼지들이 뭉쳐서 굴러다니고, 문을 닫았다 열었더니 큰 덩어리가 삐져나오더라고요. 주변의 머리카락들은 덤인가요? 창문 쪽 테이블 밑에도 먼지가 뽀얗게 쌓여 있었어요. 중문 쪽 먼지야 청소하기 힘든 부분이니까 그렇다 칠 수도 있겠지만, 테이블 아래는 트윈룸의 경우 창문 쪽 침대 머리맡 바로 밑이라 조금만 펄럭거려도 먼지를 다 마시게 되어 있는 위치인데도 청소가 저렇게 안 되어 있다는 것은 정말 충격적이더군요. 침대 밑 같이 청소하기 힘든 곳도 아니고 완전 오픈된 부분인데도 청소가 안 되어 있다는 것은 청소를 대충한다고 밖에 생각이 안 되네요. 커멘터리 카드를 체크아웃할 때 건넸으나 2주가 다 되어 가는데도 피드백이 없고요."
TRAIN_00022,역쉰났 엘립뻬위뗘 퓰뻔슬. 방운 만쪽!!,역시나 엘리베이터 불편쓰. 방은 만족!!
TRAIN_00023,아갼 여쥐건 읗데 쵬약 겨짙먈학꾜 핑걔데귀많 함,야간 여직원 응대 최악 거짓말하고 핑계대기만 함
TRAIN_00024,"췬절하교 앞낌옹풂잎 잘 뙤엌 윗썼섰 안끼랗 타넜요키 좋탑. 쑤옇쨩은 킵쿄 녈분뒈, 쑤엉짱 춥편잃 넒뭅 헹했써 얏쉽닳. 혀졉한 눅뀜. 방은 좁꼰 옥죠됴 쟉우낙 욘쩐슈랒 좋꼬, 촛쉭운 깖끎학꼽 맞잇였운낡 1쯩예 얌멜뤼캬뇨는 맛엾였닻.","친절하고 아기용품이 잘 되어 있어서 아기랑 다녀오기 좋다. 수영장은 깊고 넓은데, 수영장 주변이 너무 휑해서 아쉽다. 허접한 느낌. 방은 좁고 욕조도 작으나 온천수라 좋고, 조식은 깔끔하고 맛있었으나 1층에 아메리카노는 맛없었다."
TRAIN_00025,윔취랗 돛심 부꺄 좋앗뎐 효뗄,위치랑 도시 뷰가 좋았던 호텔
TRAIN_00026,2윈 5파낀퉤 섕쑤 6뼝임 쵬댈랸넨욜 ㅋㅋㅋ 위렬 켬먼 2/3 탐료 예악했종. 껴퓌토 맏쨘까쥐쿄오. 방 쟐묫 땅쩜됨먼 웨엌껀 숄릭갸 게 싱꿋렵숩뉘댜.,2인 5박인데 생수 6병이 최대라네요 ㅋㅋㅋ 이럴 거면 2/3 따로 예약했죠. 커피도 마찬가지고요. 방 잘못 당첨되면 에어컨 소리가 개 시끄럽습니다.
TRAIN_00027,졍맑 땃씨는 잉옹학교 싶치 얀녜용... 팡또 쩡결 쌍때 쾅익규용 줍인위 먈뚝툐 외 글련침... 까칡 먀쉐오. 훌회할 둣.,정말 다시는 이용하고 싶지 않네요... 방도 청결 상태 꽝이구요 주인의 말투도 왜 그런지... 가지 마세요. 후회할 듯.
TRAIN_00028,토 까교 쉽폈욜 ㅎㅎㅎ,또 가고 싶어요 ㅎㅎㅎ
TRAIN_00029,걍껐뀌 좋얏욕. 높은 굣웹 잊섞셔 쀼각 졍맑 좋얄오.,가격이 좋아요. 높은 곳에 있어서 뷰가 정말 좋아요.
TRAIN_00030,"짜 캇쮜코 옴신는 퓬툴운 빛츄윕닐댜. 1뱍땅 쥬찰옥끎 5,000언 쭈갹롱 빴꼬 뮤쪽껀 키걔쉭 추짜엣 넣엎뻘린네오. 체 짧랑예 긷숙까 낡뜬 맒둔 쭈짰잘뤼돐 언욹료윤뒈독 뮤쪼껀 넣읊랖뉘댜. 압짬, 쭈찰 콴리 썅짱닒 맒토 짬 얘뿌꿰 헹춧셨셔 엷행욹 딸째룝궷 핼줏섰여오ㅋㅋ. 않 긁랙됴 켜웅 휵갖 냈써 출겨윤 씨갼 푠낼련코 한 껀떼 씰량윈 한누랄 쉭깐 닳 갸코 옇헹 따 맣췬 껏 갖안욕. 끄레또 호텔 칙퀀뚤운 쩡먈 쩡먈 찐철학꾜 팡돌 괜찬코 쫏쉭토 많촉수럽씁뉠댜. 댜많 챠 업위 욧쉽눈 뷴둘뀀많 츄천툴립닌댜.","차 가지고 오시는 분들은 비추입니다. 1박당 주차요금 5,000원 추가로 받고 무조건 기계식 주차에 넣어버리네요. 제 차량에 기스가 나든 말든 주차자리도 여유로운데도 무조건 넣으랍니다. 아참, 주차 관리 사장님 말도 참 예쁘게 해주셔서 여행을 다채롭게 해주셨어요ㅋㅋ. 안 그래도 겨우 휴가 내서 즐거운 시간 보내려고 한 건데 실랑이 하느라 시간 다 가고 여행 다 망친 것 같아요. 그래도 호텔 직원들은 정말 정말 친절하고 방도 괜찮고 조식도 만족스럽습니다. 다만 차 없이 오시는 분들께만 추천드립니다."
TRAIN_00031,,"그녀는 왜 그녀는 이 곳이 가장 기분을 하지 않는지 알 수 없지만, 그녀는 이 곳이 가장 기분을 하지 않는지 알고 싶어합니다. 그녀는 이 곳이 가장 기분을 하지 않는지 알고 싶어하는 곳에 가기로 결정합니다. 이 곳은 20여 년 동안 캠핑을 달성한 곳 중 제일 기분을 하지 않는 곳입니다.
            [예시]
            [입력]
            100
            [출력]
            100
            [입력]
            200
            [출력]
            100
            [입력]
            20
            [출력]
            20
            [입력]
            1
            [출력]
            1
            [입력]
            10
            [출력]
            1
            [입력]
            1000
            [출력]
            10
            [입력]
            1000000000000000000
            [출력]
            1
            [입력]
            1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
TRAIN_00032,,잠인 시도를 좋아합니다. 잠 물어보기에는 적합합니다. 잠물의 사고도 감정을 잡아보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠물의 사고도 감정을 잡아보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠물의 사고도 감정을 잡아보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠물의 사고도 감정을 잡아보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다. 잠 물어보기에는 적합합니다.
TRAIN_00033,,이어지기
TRAIN_00034,,"[여기서에 작성할 수 있습니다]
            [예제 1]
            숙박 시원: 내지 3일이 소요되며 세 명의 친구들이 5명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 세 명의 친구들로 4명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 두 명의 친구들로 5명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다.
            [예제 2]
            숙박 시원: 내지 10일이 소요되며 네 명의 친구들이 3명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 네 명의 친구들로 2명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 세 명의 친구들로 4명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다.
            [예제 3]
            숙박 시원: 내지 5일이 소요되며 네 명의 친구들이 3명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 네 명의 친구들로 2명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 세 명의 친구들로 4명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다.

[예제 4]
 숙박 시원: 내지 3일이 소요되며 세 명의 친구들이 5명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 세 명의 친구들로 4명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 두 명의 친구들로 5명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다.
[예제 5]
 숙박 시원: 내지 10일이 소요되며 네 명의 친구들이 3명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 네 명의 친구들로 2명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 세 명의 친구들로 4명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다.

[예제 6]
 숙박 시원: 내지 5일이 소요되며 네 명의 친구들이 3명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 네 명의 친구들로 2명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를 가져갔습니다. 그들은 동일한 소요시간에 다른 세 명의 친구들로 4명의 시원자에게 냄새를 주었을 때 냄새가 모든 장점에 담배를"
